# SIMCOSTA Buoy 2673 Station pecem
# year month day hour minute seconds sea-level(cm)
2020 8 12 0 8 00 1143.59
2020 8 12 0 23 00 1144.91
2020 8 12 0 39 00 1147.41
2020 8 12 0 53 00 1146.89
2020 8 12 1 8 00 1149.06
2020 8 12 1 23 00 1148.17
2020 8 12 1 39 00 1147.36
2020 8 12 1 53 00 1145.29
2020 8 12 2 23 00 1139.24
2020 8 12 2 39 00 1135.36
2020 8 12 2 53 00 1129.85
2020 8 12 3 8 00 1123.92
2020 8 12 3 24 00 1117.63
2020 8 12 3 38 00 1112.81
2020 8 12 3 53 00 1105.14
2020 8 12 4 9 00 1096.33
2020 8 12 4 23 00 1090.59
2020 8 12 4 39 00 1082.73
2020 8 12 4 53 00 1076.88
2020 8 12 5 8 00 1070.71
2020 8 12 5 24 00 1063.42
2020 8 12 5 38 00 1059.05
2020 8 12 5 54 00 1055.51
2020 8 12 6 8 00 1049.35
2020 8 12 6 23 00 1046.21
2020 8 12 6 38 00 1044.91
2020 8 12 6 53 00 1039.92
2020 8 12 7 9 00 1039.15
2020 8 12 7 23 00 1039.41
2020 8 12 7 38 00 1038.88
2020 8 12 7 54 00 1040.46
2020 8 12 8 8 00 1042.35
2020 8 12 8 24 00 1045.14
2020 8 12 8 38 00 1049.68
2020 8 12 8 53 00 1052.63
2020 8 12 9 11 00 1056.57
2020 8 12 9 23 00 1059.66
2020 8 12 9 38 00 1066.85
2020 8 12 9 54 00 1073.01
2020 8 12 10 8 00 1078.80
2020 8 12 10 23 00 1085.25
2020 8 12 10 39 00 1093.06
2020 8 12 10 53 00 1097.50
2020 8 12 11 9 00 1103.01
2020 8 12 11 23 00 1107.90
2020 8 12 11 38 00 1113.86
2020 8 12 11 53 00 1119.11
2020 8 12 12 9 00 1125.26
2020 8 12 12 23 00 1129.88
2020 8 12 12 38 00 1133.74
2020 8 12 12 54 00 1136.47
2020 8 12 13 8 00 1138.45
2020 8 12 13 24 00 1138.65
2020 8 12 13 38 00 1139.20
2020 8 12 13 54 00 1138.94
2020 8 12 14 8 00 1137.31
2020 8 12 14 23 00 1135.40
2020 8 12 14 39 00 1132.39
2020 8 12 14 53 00 1128.80
2020 8 12 15 8 00 1126.82
2020 8 12 15 24 00 1121.07
2020 8 12 15 38 00 1117.07
