# SIMCOSTA Buoy 2677 Station suape
# year month day hour minute seconds sea-level(cm)
2020 8 12 0 8 00 1035.71
2020 8 12 0 23 00 1034.73
2020 8 12 0 38 00 1032.86
2020 8 12 0 54 00 1034.71
2020 8 12 1 8 00 1033.96
2020 8 12 1 23 00 1029.92
2020 8 12 1 39 00 1028.18
2020 8 12 1 53 00 1025.54
2020 8 12 2 8 00 1020.04
2020 8 12 2 23 00 1018.79
2020 8 12 2 38 00 1015.09
2020 8 12 2 53 00 1008.95
2020 8 12 3 8 00 1004.98
2020 8 12 3 24 00 998.90
2020 8 12 3 38 00 993.75
2020 8 12 3 53 00 990.38
2020 8 12 4 9 00 985.09
2020 8 12 4 23 00 981.44
2020 8 12 4 39 00 975.38
2020 8 12 4 53 00 974.01
2020 8 12 5 8 00 966.53
2020 8 12 5 38 00 960.81
2020 8 12 5 53 00 959.53
2020 8 12 6 9 00 960.03
2020 8 12 6 23 00 959.30
2020 8 12 6 38 00 959.28
2020 8 12 6 53 00 957.29
2020 8 12 7 9 00 959.00
2020 8 12 7 23 00 958.25
2020 8 12 7 39 00 960.47
2020 8 12 7 53 00 963.61
2020 8 12 8 8 00 966.25
2020 8 12 8 23 00 971.33
2020 8 12 8 39 00 974.42
2020 8 12 8 53 00 975.95
2020 8 12 9 9 00 980.67
2020 8 12 9 23 00 984.58
2020 8 12 9 38 00 990.16
2020 8 12 9 53 00 998.13
2020 8 12 10 9 00 1001.31
2020 8 12 10 23 00 1005.64
2020 8 12 10 39 00 1010.85
2020 8 12 10 53 00 1014.51
2020 8 12 11 9 00 1018.84
2020 8 12 11 23 00 1023.64
2020 8 12 11 39 00 1027.98
2020 8 12 11 53 00 1032.25
2020 8 12 12 9 00 1033.99
2020 8 12 12 23 00 1034.44
2020 8 12 12 39 00 1036.05
2020 8 12 12 53 00 1036.81
2020 8 12 13 9 00 1036.73
2020 8 12 13 23 00 1035.69
2020 8 12 13 38 00 1036.89
2020 8 12 13 53 00 1031.59
2020 8 12 14 8 00 1029.22
2020 8 12 14 23 00 1024.87
2020 8 12 14 39 00 1020.50
2020 8 12 14 53 00 1014.69
2020 8 12 15 8 00 1015.04
2020 8 12 15 23 00 1010.32
2020 8 12 15 39 00 1006.84
2020 8 12 15 53 00 1001.28
2020 8 12 16 8 00 995.34
2020 8 12 16 23 00 991.14
2020 8 12 16 39 00 987.44
2020 8 12 16 53 00 981.38
2020 8 12 17 9 00 977.46
2020 8 12 17 23 00 975.17
2020 8 12 17 39 00 971.92
2020 8 12 17 53 00 971.68
2020 8 12 18 8 00 967.50
2020 8 12 18 24 00 963.61
2020 8 12 18 38 00 961.45
2020 8 12 18 54 00 958.14
2020 8 12 19 8 00 959.46
2020 8 12 19 23 00 959.43
2020 8 12 19 39 00 959.84
2020 8 12 19 53 00 959.83
2020 8 12 20 8 00 962.51
2020 8 12 20 24 00 963.42
2020 8 12 20 38 00 964.85
